SP: Spontaneous Potential,SP,AHSC,AHSF,CPSP,DFSP,EDSP,ELSP,HSP,IASP,IDSP,IXSP,PCH1,RXSP,SP_S,SPA_,SPAR,SPBR,SPC,SPCG,SPD,SPDF,SPDH,SPH,SPLL,SPOT,SPP,SPS,SPSB,SSPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR: Gamma Ray,GR,CGR,ECGR,EHGR,G,GAB,GAM,GAM1,GAPI,GCPS,GGCE,GR_AR,GR_ARC_FILT,GR_STGC,GR1,GR-1A,GR2,GR-5A,GRA,GR-A,GRC,GRCO,GRDA,GRDE,GRDI,GRG,GRGC,GRGM,GRGS,GRH,GRHD,GRI,GR-I,GRLL,GRM1,GRML,GR-ML,GRN,GRNC,GRNP,GRP,GRPD,GRQH,GRR,GR-R,GRS,GRSD,GRZ,GRZD,HCGR,HEHG,HGR,HGR_STGC,HGR-1A,HGR-5A,HHGR,HSGR,MGR,P01LGR,P02LGR,P03LGR,RGR,GRSL,SGR,SGRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K: Potassium from Spectral GR,HPOT,K,POTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TH: Thorium from Spectral GR,HTHO,TH,THOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U: Uranium from Spectral GR,HURA,U,URAN,UZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT: Interval Transit Time,DT,AC,AC1,ACCO,ACL,ACN,DT24,DT24-A,DT24AQI,DT24QI,DT24SQA,DT34,DT35,DT41,DT4P,DT4P_C,DT5,DTC,DTC1,DTC2,DTCA,DTCM,DTCO,DTCR,DTCX,DTL,DTLF,DTMN,DTMX,DTP,DTSC,MSTT,TTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTCO: DT Compressional,DTCO,DT4P,DTRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSM: DT Shear,D4S,DT4S,DTS,DTSD,DTSF,DTSS,SHSL,TTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CILD: Conductivity Deep,CILD,AC90,AF6C,AF9C,AFCO,AHFC,AHFCO,AHFCO60,AHFCO90,AHOC,AHOCO60,AHOCO90,AHTC,AHTCO,AHTCO60,AHTCO90,AO6C,AO9C,AOCO,AS9C,ASCO,ASTC,ASFC,ASFCO60,ASFCO90,ASOCO90,ASTCO90,AT6C,AT9C,ATCO,CFOC,CHTZ,CIDP,CIDQ,CIDR,CIL,CIPD,CLLD,COND,DVC1,DVC2,DVC4,FC,M0CX,M1CX,M2CC9,M2CCX,M2CX,M4CCX,M4CX,MVC2,P34H_COND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CILM: Conductivity Medium,CILM,CIMQ,CIMR,CIPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CILS: Conductivity Shallow,CSFL,MCON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
